keyword,title_id
data analyst,1
analyste données,1
analyste data,1
digital analyst,1
product analyst,1
growth analyst,1
web analyst,1
data engineer,2
ingénieur data,2
ingénieur données,2
etl developer,2
pipeline engineer,2
cloud data engineer,2
data scientist,3
scientifique données,3
applied scientist,3
research scientist,3
quantitative analyst,3
analytics engineer,4
ingénieur analytics,4
bi engineer,4
machine learning engineer,5
ml engineer,5
mlops engineer,5
deep learning engineer,5
nlp engineer,5
computer vision engineer,5
ai engineer,6
ingénieur ia,6
artificial intelligence engineer,6
llm engineer,6
genai engineer,6
prompt engineer,6
business analyst,7
analyste métier,7
analyste fonctionnel,7
functional analyst,7
bi analyst,8
bi developer,8
reporting analyst,8
bi consultant,8
data manager,9
data owner,9
data steward,9
head of data,9
chief data officer,9
data architect,10
architecte données,10
architecte data,10
solution architect data,10
enterprise data architect,10
